permID   |provID     |trkSub  |mode|stn |obsTime                 |ra        |dec       |rmsRA|rmsDec|astCat  |mag  |rmsMag|band|fltr|photCat |photAp|logSNR|seeing|exp |rmsFit|nStars|notes|remarks
C/2019 E3|           |  2019E3| CCD|F51 |2013-03-05T10:31:13.010Z|165.862846| -2.889593|0.386|0.362 |   Gaia3|21.7 |0.09  |   G|    |   Gaia3| 1.4  |1.39  |0.6   | 180|0.13  |    40|K    |
C/2019 E3|           |  2019E3| CCD|F51 |2014-02-28T11:14:24.730Z|164.974046| -6.687898|0.196|0.202 |   Gaia3|22.2 |0.11  |   G|    |   Gaia3| 1.4  |1.33  |1.0   | 180|0.03  |    32|K    |
C/2019 E3|           |  2019E3| CCD|F51 |2014-12-10T15:27:59.350Z|166.549195|-10.242354|0.380|0.242 |   Gaia3|22.7 |0.27  |   G|    |   Gaia3| 1.4  |0.94  |0.9   | 180|0.16  |    50|K    |
C/2019 E3|           |  2019E3| CCD|F51 |2016-04-03T07:43:47.820Z|160.019173|-15.661766|0.232|0.320 |   Gaia3|21.3 |0.08  |   G|    |   Gaia3| 1.4  |1.44  |0.7   | 180|0.12  |    35|K    |
C/2019 E3|           |  2019E3| CCD|F51 |2017-04-25T06:27:43.400Z|156.713010|-21.083635|0.270|0.308 |   Gaia3|20.6 |0.06  |   G|    |   Gaia3| 1.4  |1.41  |0.6   | 180|0.10  |    54|K    |
C/2019 E3|           |  2019E3| CCD|F51 |2019-04-05T07:12:48.270Z|150.723783|-36.511119|0.216|0.294 |   Gaia3|20.3 |0.08  |   G|    |   Gaia3| 1.4  |1.59  |0.6   | 180|0.13  |   182|K    |
C/2019 E3|           |2019E3| CCD|W84 |2013-04-01T03:48:03.780Z|164.640862|-2.631369|1.824|1.824|   Gaia3|21.1|0.2|   G|    |   Gaia3|1.4|0.98|0.7|100|0.07|152|     |
C/2019 E3|           |2019E3| CCD|W84 |2014-02-20T04:19:46.370Z|165.391340|-6.738546|0.46|0.462|   Gaia3|20.5|0.21|   G|    |   Gaia3|1.4|0.97|0.7|160|0.06|132|     |
C/2019 E3|           |2019E3| CCD|W84 |2019-06-08T23:15:36.900Z|148.754784|-34.472029|0.222|0.224|   Gaia3|19.0|0.18|   G|    |   Gaia3|1.4|1.52|0.7|90|0.06|960|     |
