permID   |provID     |trkSub  |mode|stn |obsTime                 |ra        |dec      |rmsRA|rmsDec|astCat  |mag  |rmsMag|band|fltr|photCat |photAp|logSNR|seeing|exp  |rmsFit|nStars|notes|remarks
C/2019 U5|           |  2019U5| CCD|F51 |2019-05-22T14:00:02.690Z|303.129632|43.422401|0.466|0.468 |   Gaia3|22.6 |0.16  |   G|    |   Gaia3| 1.4  |0.92  |0.7   |  180|0.05  |   671|K    |
C/2019 U5|           |  2019U5| CCD|F51 |2020-09-25T06:57:17.780Z|269.471549|43.032523|0.352|0.350 |   Gaia3|18.4 |0.20  |   G|    |   Gaia3| 1.4  |1.61  |0.5   |  180|0.20  |    73|K    |
C/2019 U5|           |  2019U5| CCD|F51 |2020-10-21T05:28:00.670Z|269.130450|40.276068|0.278|0.266 |   Gaia3|18.6 |0.09  |   G|    |   Gaia3| 1.4  |1.56  |0.6   |  180|0.12  |   115|K    |
C/2019 U5|           |  2019U5| CCD|F51 |2021-05-24T12:53:31.800Z|268.293813|50.239722|0.130|0.120 |   Gaia3|18.8 |0.23  |   G|    |   Gaia3| 1.4  |1.88  |1.0   |  180|0.06  |    96|K    |
C/2019 U5|           |  2019U5| CCD|F51 |2021-09-05T06:12:33.140Z|241.947810|41.651330|0.398|0.358 |   Gaia3|18.2 |0.12  |   G|    |   Gaia3| 1.4  |1.76  |0.7   |  180|0.24  |    37|K    |
C/2019 U5|           |  2019U5| CCD|F51 |2022-02-20T15:01:06.170Z|250.297146|35.028335|0.266|0.230 |   Gaia3|17.0 |0.22  |   G|    |   Gaia3| 1.4  |1.73  |0.6   |   45|0.14  |    54|     |
C/2019 U5|           |  2019U5| CCD|F51 |2022-03-24T14:26:17.230Z|245.461879|39.731153|0.214|0.29  |   Gaia3|16.7 |0.08  |   G|    |   Gaia3| 1.4  |1.85  |0.6   |   45|0.16  |    55|     |
C/2019 U5|           |  2019U5| CCD|F51 |2022-06-10T08:24:51.070Z|212.766583|40.470779|0.154|0.146 |   Gaia3|16.8 |0.20  |   G|    |   Gaia3| 1.4  |1.85  |0.6   |   45|0.08  |    28|     |
